id	title	title_source	start	title_uri	ccodes	variants	types	aat_types	parent_name	geowkt
1	Lebàïdéh	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.63535933200529 30.926186187533695)
2	Zawìeẗ Aboù Sogair	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.164862046245304 30.89096089806167)
3	Mit Kamis	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.323032655133932 31.043372851827037)
4	Megefef	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.472858316354678 30.69620117587227)
5	K. Mahallet Sa	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.743311138698726 30.966483028107657)
6	Chamamléch	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.972723313688057 31.19127232864374)
7	Naga Chawkah	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.56983920792428 26.56629251111364)
8	Ebet el Borg	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG	Lesbe	village	300008372	EG	POINT (31.827098561458094 31.51148079362856)
9	Aboù Kollis	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.83590386057311 30.61129178751886)
10	El Zaafrànì	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.74416655577081 30.710017197976743)
11	Foueh	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.551160985946744 31.200647473665747)
12	Zefieẗ Mechtoùl	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.33979710693724 30.328392623984403)
13	Village Rume	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (32.02388597708007 26.259817630697498)
14	El  Nagàziéh	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.77037827819237 26.446855795311087)
15	Mit Hadid	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.646248243516066 31.131798070725875)
16	Ràs Ahmed	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (30.224094304527917 30.91297415683068)
17	Menehiàt Dahchoùr	Jacotin, Pierre, and Edme François Jomard. Carte Topographique De L'Égypte Et De Plusieurs Parties Des Pays Limitrophes; Levée Pendant L'Expédition De L' Armée Française, Par Les Ingénieurs-Géographes, Les Officiers Du Génie Militaire Et Les Ingénieurs Des Ponts Et Chaussées; Assujettie Aux Observations Des Astronomes, Construite Par M. Jacotin, Colonel Au Corps Royal Des Ingénieur-Géographes Militaires, Chevalier de l'Ordre Royal et Militaire de Saint-Louis et de la Légion d'Honneur, Membre de l'Institut d'Égypte; Gravée Au Dépôt Général De La Guerre, à l'Échelle de 1 Millimètre pour 100 Mètres. Publiée Par Ordre Du Gouvernement. 1828.	1828	http://www.worldcat.org/oclc/248989716	EG		village	300008372	EG	POINT (31.21451499809555 29.765132308390424)
